month,district,pred_civil_works_count,pred_district_civil_works_count,pred_district_community_dev_count,pred_district_electricity_count,pred_district_environment_count,pred_district_inspection_count,pred_district_sanitation_count,pred_education_count,pred_electricity_count,pred_environment_count,pred_metro_police_count,pred_others_count,pred_police_count,pred_private_sector_count,pred_public_health_count,pred_transportation_count,pred_waterworks_count
1,ลาดพร้าว,685.0,813.0,0.0,6.0,676.0,41.0,340.0,1.0,94.0,363.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0
1,วังทองหลาง,813.0,652.0,4.0,0.0,259.0,158.0,0.0,0.0,210.0,114.0,0.0,0.0,1.0,0.0,0.0,3.0,43.0
1,วัฒนา,1345.0,1031.0,0.0,0.0,49.0,987.0,0.0,1.0,0.0,0.0,359.0,0.0,325.0,0.0,0.0,0.0,0.0
1,สวนหลวง,983.0,562.0,0.0,539.0,278.0,0.0,0.0,2.0,636.0,169.0,21.0,0.0,50.0,0.0,0.0,292.0,0.0
1,สะพานสูง,734.0,734.0,5.0,470.0,52.0,93.0,37.0,0.0,597.0,461.0,31.0,0.0,24.0,0.0,6.0,8.0,0.0
1,สัมพันธวงศ์,1.0,1.0,5.0,0.0,72.0,301.0,0.0,0.0,0.0,36.0,60.0,6.0,45.0,0.0,0.0,1.0,0.0
1,สาทร,335.0,0.0,0.0,0.0,0.0,731.0,0.0,0.0,0.0,0.0,146.0,0.0,142.0,0.0,0.0,1.0,0.0
1,สายไหม,502.0,585.0,0.0,195.0,455.0,135.0,464.0,1.0,267.0,474.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
1,หนองจอก,37.0,0.0,0.0,728.0,1.0,3.0,0.0,0.0,758.0,7.0,0.0,765.0,0.0,0.0,68.0,25.0,0.0
1,หนองแขม,586.0,78.0,0.0,203.0,295.0,433.0,4.0,2.0,199.0,523.0,46.0,0.0,52.0,0.0,4.0,0.0,0.0
1,หลักสี่,579.0,665.0,0.0,2.0,253.0,403.0,10.0,2.0,36.0,370.0,29.0,23.0,32.0,0.0,0.0,194.0,0.0
1,ห้วยขวาง,928.0,321.0,1.0,94.0,15.0,86.0,0.0,0.0,95.0,1.0,467.0,0.0,430.0,0.0,0.0,44.0,0.0
2,คลองสาน,413.0,385.0,0.0,0.0,12.0,8.0,0.0,15.0,0.0,37.0,236.0,0.0,179.0,0.0,33.0,3.0,0.0
2,คลองสามวา,666.0,652.0,0.0,28.0,182.0,491.0,4.0,5.0,16.0,439.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0
2,คลองเตย,854.0,6.0,0.0,0.0,0.0,1257.0,0.0,0.0,1.0,147.0,627.0,21.0,609.0,0.0,0.0,290.0,0.0
2,คันนายาว,84.0,41.0,0.0,40.0,141.0,63.0,0.0,1.0,350.0,192.0,0.0,2.0,1.0,0.0,0.0,147.0,0.0
2,จตุจักร,2166.0,416.0,0.0,925.0,21.0,1632.0,0.0,9.0,1044.0,97.0,86.0,2.0,80.0,1.0,0.0,1518.0,0.0
2,จอมทอง,295.0,0.0,1.0,516.0,395.0,74.0,0.0,2.0,511.0,256.0,0.0,4.0,0.0,0.0,0.0,54.0,2.0
2,ดอนเมือง,409.0,508.0,0.0,0.0,138.0,389.0,18.0,3.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0
